text,label
IIT researchers developed a low‑cost water purification technology aimed at improving rural access to clean drinking water.,real
The RBI announced it will keep the repo rate unchanged to maintain economic stability amid global uncertainty.,real
"ISRO successfully completed a major test for the Gaganyaan mission, validating the crew escape system for astronaut safety.",real
The Union Health Ministry reported a significant drop in dengue cases this year due to improved preventive measures.,real
India’s GDP growth for the last quarter exceeded expectations due to strong manufacturing and service-sector performance.,real
IIT researchers developed a low‑cost water purification technology aimed at improving rural access to clean drinking water.,real
The RBI announced it will keep the repo rate unchanged to maintain economic stability amid global uncertainty.,real
"ISRO successfully completed a major test for the Gaganyaan mission, validating the crew escape system for astronaut safety.",real
The Union Health Ministry reported a significant drop in dengue cases this year due to improved preventive measures.,real
India’s GDP growth for the last quarter exceeded expectations due to strong manufacturing and service-sector performance.,real
IIT researchers developed a low‑cost water purification technology aimed at improving rural access to clean drinking water.,real
The RBI announced it will keep the repo rate unchanged to maintain economic stability amid global uncertainty.,real
"ISRO successfully completed a major test for the Gaganyaan mission, validating the crew escape system for astronaut safety.",real
The Union Health Ministry reported a significant drop in dengue cases this year due to improved preventive measures.,real
India’s GDP growth for the last quarter exceeded expectations due to strong manufacturing and service-sector performance.,real
IIT researchers developed a low‑cost water purification technology aimed at improving rural access to clean drinking water.,real
The RBI announced it will keep the repo rate unchanged to maintain economic stability amid global uncertainty.,real
"ISRO successfully completed a major test for the Gaganyaan mission, validating the crew escape system for astronaut safety.",real
The Union Health Ministry reported a significant drop in dengue cases this year due to improved preventive measures.,real
India’s GDP growth for the last quarter exceeded expectations due to strong manufacturing and service-sector performance.,real
IIT researchers developed a low‑cost water purification technology aimed at improving rural access to clean drinking water.,real
The RBI announced it will keep the repo rate unchanged to maintain economic stability amid global uncertainty.,real
"ISRO successfully completed a major test for the Gaganyaan mission, validating the crew escape system for astronaut safety.",real
The Union Health Ministry reported a significant drop in dengue cases this year due to improved preventive measures.,real
India’s GDP growth for the last quarter exceeded expectations due to strong manufacturing and service-sector performance.,real
IIT researchers developed a low‑cost water purification technology aimed at improving rural access to clean drinking water.,real
The RBI announced it will keep the repo rate unchanged to maintain economic stability amid global uncertainty.,real
"ISRO successfully completed a major test for the Gaganyaan mission, validating the crew escape system for astronaut safety.",real
The Union Health Ministry reported a significant drop in dengue cases this year due to improved preventive measures.,real
India’s GDP growth for the last quarter exceeded expectations due to strong manufacturing and service-sector performance.,real
IIT researchers developed a low‑cost water purification technology aimed at improving rural access to clean drinking water.,real
The RBI announced it will keep the repo rate unchanged to maintain economic stability amid global uncertainty.,real
"ISRO successfully completed a major test for the Gaganyaan mission, validating the crew escape system for astronaut safety.",real
The Union Health Ministry reported a significant drop in dengue cases this year due to improved preventive measures.,real
India’s GDP growth for the last quarter exceeded expectations due to strong manufacturing and service-sector performance.,real
IIT researchers developed a low‑cost water purification technology aimed at improving rural access to clean drinking water.,real
The RBI announced it will keep the repo rate unchanged to maintain economic stability amid global uncertainty.,real
"ISRO successfully completed a major test for the Gaganyaan mission, validating the crew escape system for astronaut safety.",real
The Union Health Ministry reported a significant drop in dengue cases this year due to improved preventive measures.,real
India’s GDP growth for the last quarter exceeded expectations due to strong manufacturing and service-sector performance.,real
IIT researchers developed a low‑cost water purification technology aimed at improving rural access to clean drinking water.,real
The RBI announced it will keep the repo rate unchanged to maintain economic stability amid global uncertainty.,real
"ISRO successfully completed a major test for the Gaganyaan mission, validating the crew escape system for astronaut safety.",real
The Union Health Ministry reported a significant drop in dengue cases this year due to improved preventive measures.,real
India’s GDP growth for the last quarter exceeded expectations due to strong manufacturing and service-sector performance.,real
IIT researchers developed a low‑cost water purification technology aimed at improving rural access to clean drinking water.,real
The RBI announced it will keep the repo rate unchanged to maintain economic stability amid global uncertainty.,real
"ISRO successfully completed a major test for the Gaganyaan mission, validating the crew escape system for astronaut safety.",real
The Union Health Ministry reported a significant drop in dengue cases this year due to improved preventive measures.,real
India’s GDP growth for the last quarter exceeded expectations due to strong manufacturing and service-sector performance.,real
IIT researchers developed a low‑cost water purification technology aimed at improving rural access to clean drinking water.,real
The RBI announced it will keep the repo rate unchanged to maintain economic stability amid global uncertainty.,real
"ISRO successfully completed a major test for the Gaganyaan mission, validating the crew escape system for astronaut safety.",real
The Union Health Ministry reported a significant drop in dengue cases this year due to improved preventive measures.,real
India’s GDP growth for the last quarter exceeded expectations due to strong manufacturing and service-sector performance.,real
IIT researchers developed a low‑cost water purification technology aimed at improving rural access to clean drinking water.,real
The RBI announced it will keep the repo rate unchanged to maintain economic stability amid global uncertainty.,real
"ISRO successfully completed a major test for the Gaganyaan mission, validating the crew escape system for astronaut safety.",real
The Union Health Ministry reported a significant drop in dengue cases this year due to improved preventive measures.,real
India’s GDP growth for the last quarter exceeded expectations due to strong manufacturing and service-sector performance.,real
IIT researchers developed a low‑cost water purification technology aimed at improving rural access to clean drinking water.,real
The RBI announced it will keep the repo rate unchanged to maintain economic stability amid global uncertainty.,real
"ISRO successfully completed a major test for the Gaganyaan mission, validating the crew escape system for astronaut safety.",real
The Union Health Ministry reported a significant drop in dengue cases this year due to improved preventive measures.,real
India’s GDP growth for the last quarter exceeded expectations due to strong manufacturing and service-sector performance.,real
IIT researchers developed a low‑cost water purification technology aimed at improving rural access to clean drinking water.,real
The RBI announced it will keep the repo rate unchanged to maintain economic stability amid global uncertainty.,real
"A viral WhatsApp message claims the government will distribute free laptops to all students next month, which officials denied.",fake
"Posts online falsely state that drinking salt water can cure viral infections, a claim refuted by medical experts.",fake
"A fake report claims NASA confirmed an alien spacecraft will land on Earth next year, which the agency has not stated.",fake
"A manipulated photo suggests a major Indian bank has collapsed, although the bank confirmed stable operations.",fake
"Rumours say magnetic bracelets permanently increase memory power, which scientists have dismissed.",fake
"A viral WhatsApp message claims the government will distribute free laptops to all students next month, which officials denied.",fake
"Posts online falsely state that drinking salt water can cure viral infections, a claim refuted by medical experts.",fake
"A fake report claims NASA confirmed an alien spacecraft will land on Earth next year, which the agency has not stated.",fake
"A manipulated photo suggests a major Indian bank has collapsed, although the bank confirmed stable operations.",fake
"Rumours say magnetic bracelets permanently increase memory power, which scientists have dismissed.",fake
"A viral WhatsApp message claims the government will distribute free laptops to all students next month, which officials denied.",fake
"Posts online falsely state that drinking salt water can cure viral infections, a claim refuted by medical experts.",fake
"A fake report claims NASA confirmed an alien spacecraft will land on Earth next year, which the agency has not stated.",fake
"A manipulated photo suggests a major Indian bank has collapsed, although the bank confirmed stable operations.",fake
"Rumours say magnetic bracelets permanently increase memory power, which scientists have dismissed.",fake
"A viral WhatsApp message claims the government will distribute free laptops to all students next month, which officials denied.",fake
"Posts online falsely state that drinking salt water can cure viral infections, a claim refuted by medical experts.",fake
"A fake report claims NASA confirmed an alien spacecraft will land on Earth next year, which the agency has not stated.",fake
"A manipulated photo suggests a major Indian bank has collapsed, although the bank confirmed stable operations.",fake
"Rumours say magnetic bracelets permanently increase memory power, which scientists have dismissed.",fake
"A viral WhatsApp message claims the government will distribute free laptops to all students next month, which officials denied.",fake
"Posts online falsely state that drinking salt water can cure viral infections, a claim refuted by medical experts.",fake
"A fake report claims NASA confirmed an alien spacecraft will land on Earth next year, which the agency has not stated.",fake
"A manipulated photo suggests a major Indian bank has collapsed, although the bank confirmed stable operations.",fake
"Rumours say magnetic bracelets permanently increase memory power, which scientists have dismissed.",fake
"A viral WhatsApp message claims the government will distribute free laptops to all students next month, which officials denied.",fake
"Posts online falsely state that drinking salt water can cure viral infections, a claim refuted by medical experts.",fake
"A fake report claims NASA confirmed an alien spacecraft will land on Earth next year, which the agency has not stated.",fake
"A manipulated photo suggests a major Indian bank has collapsed, although the bank confirmed stable operations.",fake
"Rumours say magnetic bracelets permanently increase memory power, which scientists have dismissed.",fake
"A viral WhatsApp message claims the government will distribute free laptops to all students next month, which officials denied.",fake
"Posts online falsely state that drinking salt water can cure viral infections, a claim refuted by medical experts.",fake
"A fake report claims NASA confirmed an alien spacecraft will land on Earth next year, which the agency has not stated.",fake
"A manipulated photo suggests a major Indian bank has collapsed, although the bank confirmed stable operations.",fake
"Rumours say magnetic bracelets permanently increase memory power, which scientists have dismissed.",fake
"A viral WhatsApp message claims the government will distribute free laptops to all students next month, which officials denied.",fake
"Posts online falsely state that drinking salt water can cure viral infections, a claim refuted by medical experts.",fake
"A fake report claims NASA confirmed an alien spacecraft will land on Earth next year, which the agency has not stated.",fake
"A manipulated photo suggests a major Indian bank has collapsed, although the bank confirmed stable operations.",fake
"Rumours say magnetic bracelets permanently increase memory power, which scientists have dismissed.",fake
"A viral WhatsApp message claims the government will distribute free laptops to all students next month, which officials denied.",fake
"Posts online falsely state that drinking salt water can cure viral infections, a claim refuted by medical experts.",fake
"A fake report claims NASA confirmed an alien spacecraft will land on Earth next year, which the agency has not stated.",fake
"A manipulated photo suggests a major Indian bank has collapsed, although the bank confirmed stable operations.",fake
"Rumours say magnetic bracelets permanently increase memory power, which scientists have dismissed.",fake
"A viral WhatsApp message claims the government will distribute free laptops to all students next month, which officials denied.",fake
"Posts online falsely state that drinking salt water can cure viral infections, a claim refuted by medical experts.",fake
"A fake report claims NASA confirmed an alien spacecraft will land on Earth next year, which the agency has not stated.",fake
"A manipulated photo suggests a major Indian bank has collapsed, although the bank confirmed stable operations.",fake
"Rumours say magnetic bracelets permanently increase memory power, which scientists have dismissed.",fake
"A viral WhatsApp message claims the government will distribute free laptops to all students next month, which officials denied.",fake
"Posts online falsely state that drinking salt water can cure viral infections, a claim refuted by medical experts.",fake
"A fake report claims NASA confirmed an alien spacecraft will land on Earth next year, which the agency has not stated.",fake
"A manipulated photo suggests a major Indian bank has collapsed, although the bank confirmed stable operations.",fake
"Rumours say magnetic bracelets permanently increase memory power, which scientists have dismissed.",fake
"A viral WhatsApp message claims the government will distribute free laptops to all students next month, which officials denied.",fake
"Posts online falsely state that drinking salt water can cure viral infections, a claim refuted by medical experts.",fake
"A fake report claims NASA confirmed an alien spacecraft will land on Earth next year, which the agency has not stated.",fake
"A manipulated photo suggests a major Indian bank has collapsed, although the bank confirmed stable operations.",fake
"Rumours say magnetic bracelets permanently increase memory power, which scientists have dismissed.",fake
"A viral WhatsApp message claims the government will distribute free laptops to all students next month, which officials denied.",fake
"Posts online falsely state that drinking salt water can cure viral infections, a claim refuted by medical experts.",fake
"A fake report claims NASA confirmed an alien spacecraft will land on Earth next year, which the agency has not stated.",fake
"A manipulated photo suggests a major Indian bank has collapsed, although the bank confirmed stable operations.",fake
"Rumours say magnetic bracelets permanently increase memory power, which scientists have dismissed.",fake
"A viral WhatsApp message claims the government will distribute free laptops to all students next month, which officials denied.",fake
"Posts online falsely state that drinking salt water can cure viral infections, a claim refuted by medical experts.",fake
"A fake report claims NASA confirmed an alien spacecraft will land on Earth next year, which the agency has not stated.",fake
"A manipulated photo suggests a major Indian bank has collapsed, although the bank confirmed stable operations.",fake
"Rumours say magnetic bracelets permanently increase memory power, which scientists have dismissed.",fake
"A viral WhatsApp message claims the government will distribute free laptops to all students next month, which officials denied.",fake
"Posts online falsely state that drinking salt water can cure viral infections, a claim refuted by medical experts.",fake
"A fake report claims NASA confirmed an alien spacecraft will land on Earth next year, which the agency has not stated.",fake
"A manipulated photo suggests a major Indian bank has collapsed, although the bank confirmed stable operations.",fake
"Rumours say magnetic bracelets permanently increase memory power, which scientists have dismissed.",fake
"A viral WhatsApp message claims the government will distribute free laptops to all students next month, which officials denied.",fake
"Posts online falsely state that drinking salt water can cure viral infections, a claim refuted by medical experts.",fake
"A fake report claims NASA confirmed an alien spacecraft will land on Earth next year, which the agency has not stated.",fake
"A manipulated photo suggests a major Indian bank has collapsed, although the bank confirmed stable operations.",fake
"Rumours say magnetic bracelets permanently increase memory power, which scientists have dismissed.",fake
"A viral WhatsApp message claims the government will distribute free laptops to all students next month, which officials denied.",fake
"Posts online falsely state that drinking salt water can cure viral infections, a claim refuted by medical experts.",fake
"A fake report claims NASA confirmed an alien spacecraft will land on Earth next year, which the agency has not stated.",fake
"A manipulated photo suggests a major Indian bank has collapsed, although the bank confirmed stable operations.",fake
"Rumours say magnetic bracelets permanently increase memory power, which scientists have dismissed.",fake
"A viral WhatsApp message claims the government will distribute free laptops to all students next month, which officials denied.",fake
"Posts online falsely state that drinking salt water can cure viral infections, a claim refuted by medical experts.",fake
"A fake report claims NASA confirmed an alien spacecraft will land on Earth next year, which the agency has not stated.",fake
"A manipulated photo suggests a major Indian bank has collapsed, although the bank confirmed stable operations.",fake
"Rumours say magnetic bracelets permanently increase memory power, which scientists have dismissed.",fake
"A viral WhatsApp message claims the government will distribute free laptops to all students next month, which officials denied.",fake
"Posts online falsely state that drinking salt water can cure viral infections, a claim refuted by medical experts.",fake
"A fake report claims NASA confirmed an alien spacecraft will land on Earth next year, which the agency has not stated.",fake
"A manipulated photo suggests a major Indian bank has collapsed, although the bank confirmed stable operations.",fake
"Rumours say magnetic bracelets permanently increase memory power, which scientists have dismissed.",fake
"A viral WhatsApp message claims the government will distribute free laptops to all students next month, which officials denied.",fake
"Posts online falsely state that drinking salt water can cure viral infections, a claim refuted by medical experts.",fake
"A fake report claims NASA confirmed an alien spacecraft will land on Earth next year, which the agency has not stated.",fake
"A manipulated photo suggests a major Indian bank has collapsed, although the bank confirmed stable operations.",fake
"Rumours say magnetic bracelets permanently increase memory power, which scientists have dismissed.",fake
